name,rank,area,profile,homepage
Yagiz Aksoy,Assistant Professor,"Computational photography, computer graphics, computer vision and deep learning",http://www.sfu.ca/computing/people/faculty/yagizaksoy.html,http://people.inf.ethz.ch/aksoyy/
Brad Bart,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
Angel Chang,Assistant Professor,"Natural Language Processing, Artificial Intelligence, Computer Graphics, Computer Vision",http://www.sfu.ca/computing/people/faculty/angelchang.html,
Sheelagh Carpendale,Professor,Information Visualization,http://www.sfu.ca/computing/people/faculty/sheelaghcarpendale.html,
Leonid Chindelevitch,Associate Professor,Computational Biology,http://www.sfu.ca/computing/people/faculty/leonidchindelevitch.html,http://www.sfu.ca/~leonid
Diana Cukierman,University Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/dianacukierman.html,
James P. Delgrande,Professor,Formal Aspects of Knowledge Representation,http://www.sfu.ca/computing/people/faculty/jamesdelgrande.html,http://www.cs.sfu.ca/~jim/
Toby Donaldson,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/tobydonaldson.html,
John Edgar,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/johnedgar.html,
Martin Ester,Professor,Databases and Data Mining,http://www.sfu.ca/computing/people/faculty/martinester.html,https://author.sfu.ca/cf#/content/sfu/computing/people/faculty/martinester/people.html
Brian Fraser,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
Yasutaka Furukawa,Associate Professor,"Computer Vision, Deep Learning, Computer Graphics & Computational Photography",http://www.sfu.ca/computing/people/faculty/yasutakafurukawa1.html,http://www.cs.sfu.ca/~furukawa/
Uwe Glässer,Professor,"Software Technology, Distributed Communication Architectures",http://www.sfu.ca/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/
Mohamed Hefeeda,Professor,"Computer Networks, Multimedia Communications",http://www.sfu.ca/computing/people/faculty/mohamedhefeeda.html,http://www.cs.sfu.ca/~mhefeeda/
Harinder Singh Khangura,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
Anne Lavergne,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
